REF_DATE,GEO,DGUID,Value and volume,Imports and exports,Type of beverage,VALUE
2005,Ireland,,Volume in litres,Imports,Beer,9545
2005,Italy,,Volume in litres,Imports,Wines,45386
2005,Jamaica,,Volume in litres,Imports,Spirits,4563
2005,Japan,,Volume in litres,Exports,Spirits,602
2005,Mexico,,Volume in litres,Imports,Spirits,1
2005,Mexico,,Volume in litres,Imports,Beer,47164
2005,Netherlands,,Volume in litres,Imports,Beer,44846
2005,South Africa,,Volume in litres,Exports,Spirits,137
2005,Spain,,Volume in litres,Imports,Wines,13461
2005,Sweden,,Volume in litres,Exports,Spirits,223
2005,Taiwan,,Volume in litres,Exports,Wines,222
2005,Thailand,,Volume in litres,Exports,Spirits,
2005,United Kingdom,,Volume in litres,Imports,Spirits,5030
2005,United Kingdom,,Volume in litres,Imports,Beer,12852
2005,United Kingdom,,Volume in litres,Exports,Spirits,292
2005,United States,,Volume in litres,Imports,Spirits,12025
2005,United States,,Volume in litres,Imports,Wines,39710
2005,United States,,Volume in litres,Imports,Beer,54654
2005,United States,,Volume in litres,Exports,Spirits,70620
2005,United States,,Volume in litres,Exports,Wines,11761
2005,United States,,Volume in litres,Exports,Beer,354906
